table_name,data_type,feature_type,feature_count,sample_count,created_date,updated_date
CCLE_cnv,CCLE,cnv,23316,1043,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_drug,CCLE,drug,24,503,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_fusion,CCLE,fusion,25201,1404,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_mRNA,CCLE,mRNA,19210,1406,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_meth,CCLE,meth,20192,843,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_mutation_gene,CCLE,mutation_gene,19478,1770,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_mutation_site,CCLE,mutation_site,852066,2,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_proteinms,CCLE,proteinms,12196,375,2025-06-13 10:16:56,2025-06-25 23:18:51
CCLE_proteinrppa,CCLE,proteinrppa,214,899,2025-06-13 10:16:56,2025-06-25 23:18:51
CTRP1_drug,CTRP1,drug,354,241,2025-06-13 10:16:56,2025-06-13 10:17:03
CTRP2_drug,CTRP2,drug,545,887,2025-06-13 10:16:56,2025-06-24 12:18:53
FIMM_drug,FIMM,drug,52,50,2025-06-13 10:16:56,2025-06-13 10:17:03
GDSC1_drug,GDSC1,drug,339,983,2025-06-13 10:16:56,2025-06-23 21:33:47
GDSC2_drug,GDSC2,drug,188,806,2025-06-13 10:16:56,2025-06-24 08:23:01
GDSC_cnv,GDSC,cnv,22902,968,2025-06-13 10:16:56,2025-06-23 22:10:47
GDSC_mRNA,GDSC,mRNA,17420,968,2025-06-13 10:16:56,2025-06-23 22:10:47
GDSC_mutation_gene,GDSC,mutation_gene,278,939,2025-06-13 10:16:56,2025-06-23 22:10:47
GDSC_mutation_site,GDSC,mutation_site,2795,939,2025-06-13 10:16:56,2025-06-23 22:10:47
GRAY_drug,GRAY,drug,106,71,2025-06-13 10:16:56,2025-06-13 10:17:03
HKUPDO_drug,HKUPDO,drug,37,9,2025-06-23 14:35:49,2025-06-23 14:38:54
HKUPDO_fusion,HKUPDO,fusion,161,64,2025-06-23 14:35:49,2025-06-23 14:38:54
HKUPDO_mRNA,HKUPDO,mRNA,10620,52,2025-06-23 14:35:49,2025-06-23 14:38:54
HKUPDO_mutation_gene,HKUPDO,mutation_gene,8542,52,2025-06-23 14:35:49,2025-06-23 14:38:54
HKUPDO_mutation_site,HKUPDO,mutation_site,19538,52,2025-06-23 14:35:49,2025-06-23 14:38:54
LICOB_cnv,LICOB,cnv,27217,65,2025-06-18 15:33:13,2025-06-18 15:46:20
LICOB_drug,LICOB,drug,76,64,2025-06-18 15:33:13,2025-06-18 15:46:20
LICOB_mRNA,LICOB,mRNA,23121,65,2025-06-18 15:33:13,2025-06-18 15:46:20
LICOB_meth,LICOB,meth,5102,65,2025-06-18 15:33:13,2025-06-18 15:46:20
LICOB_mutation_gene,LICOB,mutation_gene,5127,65,2025-06-18 15:33:13,2025-06-18 15:46:20
LICOB_proteinms,LICOB,proteinms,6872,65,2025-06-18 15:33:13,2025-06-18 15:46:20
NCI60_drug,NCI60,drug,54773,162,2025-06-13 10:16:56,2025-06-13 10:17:03
NCI60_mRNA,NCI60,mRNA,23516,60,2025-06-13 10:16:56,2025-06-13 10:17:03
PDTXBreast_drug,PDTXBreast,drug,98,37,2025-06-13 10:16:56,2025-06-13 10:17:03
Prism_drug,Prism,drug,1442,479,2025-06-13 10:16:56,2025-06-24 18:43:07
Tavor_drug,Tavor,drug,46,53,2025-06-13 10:16:56,2025-06-13 10:17:03
Tavor_mRNA,Tavor,mRNA,24027,43,2025-06-13 10:16:56,2025-06-13 10:17:03
UHNBreast_drug,UHNBreast,drug,8,57,2025-06-13 10:16:56,2025-06-13 10:17:03
UMPDO1_drug,UMPDO1,drug,49,78,2025-06-13 10:16:56,2025-06-21 20:17:39
UMPDO1_mRNA,UMPDO1,mRNA,43545,90,2025-06-13 10:16:56,2025-06-21 20:17:39
UMPDO1_mutation_gene,UMPDO1,mutation_gene,2897,43,2025-06-13 10:16:56,2025-06-21 20:17:39
UMPDO1_mutation_site,UMPDO1,mutation_site,4726,43,2025-06-13 10:16:56,2025-06-21 20:17:39
UMPDO2_cnv,UMPDO2,cnv,25884,20,2025-06-13 10:16:56,2025-06-21 20:23:05
UMPDO2_drug,UMPDO2,drug,49,35,2025-06-13 10:16:56,2025-06-21 20:23:05
UMPDO2_mRNA,UMPDO2,mRNA,36447,34,2025-06-13 10:16:56,2025-06-21 20:23:05
UMPDO2_mutation_gene,UMPDO2,mutation_gene,8843,20,2025-06-13 10:16:56,2025-06-21 20:23:05
UMPDO2_mutation_site,UMPDO2,mutation_site,16153,20,2025-06-13 10:16:56,2025-06-21 20:23:05
UMPDO3_drug,UMPDO3,drug,48,42,2025-06-13 10:16:56,2025-06-13 10:17:03
UMPDO3_mRNA,UMPDO3,mRNA,40137,14,2025-06-13 10:16:56,2025-06-13 10:17:03
Xeva_cnv,Xeva,cnv,23854,190,2025-06-13 10:16:56,2025-06-24 22:02:43
Xeva_drug,Xeva,drug,38,252,2025-06-13 10:16:56,2025-06-24 22:02:43
Xeva_mRNA,Xeva,mRNA,19711,191,2025-06-13 10:16:56,2025-06-24 22:02:43
Xeva_mutation_gene,Xeva,mutation_gene,19698,191,2025-06-13 10:16:56,2025-06-24 22:02:43
gCSI_cnv,gCSI,cnv,26291,329,2025-06-13 10:16:56,2025-06-24 22:20:23
gCSI_drug,gCSI,drug,44,569,2025-06-13 10:16:56,2025-06-24 22:20:23
gCSI_mutation_gene,gCSI,mutation_gene,55,284,2025-06-13 10:16:56,2025-06-24 22:20:23
